Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
BNIP1		5q35.1	AMP	38	509	7.5%	No
NKX2-5		5q35.1	AMP	38	509	7.5%	No
DBN1		5q35.3	AMP	38	509	7.5%	No
DUSP1		5q35.1	AMP	38	509	7.5%	No
F12		5q35.3	AMP	38	509	7.5%	No
FGFR4		5q35.2	AMP	38	509	7.5%	Yes
GRK6		5q35.3	AMP	38	509	7.5%	No
HK3		5q35.2	AMP	38	509	7.5%	No
SLC34A1		5q35.3	AMP	38	509	7.5%	No
STC2		5q35.2	AMP	38	509	7.5%	No
PDLIM7		5q35.3	AMP	38	509	7.5%	No
RGS14		5q35.3	AMP	38	509	7.5%	No
LMAN2		5q35.3	AMP	38	509	7.5%	No
B4GALT7		5q35.3	AMP	38	509	7.5%	No
ZNF346		5q35.2	AMP	38	509	7.5%	No
PRELID1		5q35.3	AMP	38	509	7.5%	No
DDX41		5q35.3	AMP	38	509	7.5%	Yes
UIMC1		5q35.2	AMP	38	509	7.5%	No
RAB24		5q35.3	AMP	38	509	7.5%	No
NEURL1B		5q35.1	AMP	38	509	7.5%	No
FAM193B		5q35.3	AMP	38	509	7.5%	No
TMED9		5q35.3	AMP	38	509	7.5%	No
ERGIC1		5q35.1	AMP	38	509	7.5%	No
NSD1		5q35.3	AMP	38	509	7.5%	Yes
BTNL8		5q35.3	AMP	38	509	7.5%	No
DOK3		5q35.3	AMP	38	509	7.5%	No
PRR7		5q35.3	AMP	38	509	7.5%	No
MXD3		5q35.3	AMP	38	509	7.5%	No
CREBRF		5q35.1	AMP	38	509	7.5%	No
LOC202181		5q35.3	AMP	38	509	7.5%	No
PRR7-AS1		5q35.3	AMP	38	509	7.5%	No
PFN3		5q35.3	AMP	38	509	7.5%	No
LOC101928093		5q35.1	AMP	38	509	7.5%	No
CANX		5q35.3	AMP	37	509	7.3%	No
CLTB		5q35.2	AMP	37	509	7.3%	No
DRD1		5q35.2	AMP	37	509	7.3%	No
FLT4		5q35.3	AMP	37	509	7.3%	Yes
GRM6		5q35.3	AMP	37	509	7.3%	No
HNRNPAB		5q35.3	AMP	37	509	7.3%	No
HNRNPH1		5q35.3	AMP	37	509	7.3%	No
HRH2		5q35.2	AMP	37	509	7.3%	No
LTC4S		5q35.3	AMP	37	509	7.3%	No
MGAT1		5q35.3	AMP	37	509	7.3%	No
MSX2		5q35.2	AMP	37	509	7.3%	No
MAPK9		5q35.3	AMP	37	509	7.3%	No
PROP1		5q35.3	AMP	37	509	7.3%	No
SNCB		5q35.2	AMP	37	509	7.3%	No
ZNF354A		5q35.3	AMP	37	509	7.3%	No
SQSTM1		5q35.3	AMP	37	509	7.3%	No
ATP6V0E1		5q35.1	AMP	37	509	7.3%	No
ADAMTS2		5q35.3	AMP	37	509	7.3%	No
MAML1		5q35.3	AMP	37	509	7.3%	No
GFPT2		5q35.3	AMP	37	509	7.3%	No
RACK1		5q35.3	AMP	37	509	7.3%	No
CPLX2		5q35.2	AMP	37	509	7.3%	No
BTNL3		5q35.3	AMP	37	509	7.3%	No
MGAT4B		5q35.3	AMP	37	509	7.3%	No
RNF44		5q35.2	AMP	37	509	7.3%	No
TBC1D9B		5q35.3	AMP	37	509	7.3%	No
N4BP3		5q35.3	AMP	37	509	7.3%	No
FAF2		5q35.2	AMP	37	509	7.3%	No
TSPAN17		5q35.2	AMP	37	509	7.3%	No
OR2V1		5q35.3	AMP	37	509	7.3%	No
ZNF354C		5q35.3	AMP	37	509	7.3%	No
RPL26L1		5q35.1	AMP	37	509	7.3%	No
MRNIP		5q35.3	AMP	37	509	7.3%	No
NOP16		5q35.2	AMP	37	509	7.3%	No
NSG2		5q35.2	AMP	37	509	7.3%	No
CDHR2		5q35.2	AMP	37	509	7.3%	No
NHP2		5q35.3	AMP	37	509	7.3%	No
RNF130		5q35.3	AMP	37	509	7.3%	No
KIAA1191		5q35.2	AMP	37	509	7.3%	No
CLK4		5q35.3	AMP	37	509	7.3%	No
CNOT6		5q35.3	AMP	37	509	7.3%	No
