"","logFC","logCPM","LR","PValue","FDR"
"155060",1.36409836005631,3.17828426551066,75.3345885834574,3.97337688108439e-18,1.21459462764211e-17
"A1BG",1.27981053261055,1.71500358697179,50.0958093096604,1.46419359717424e-12,3.42035440644386e-12
"A2LD1",-2.20522091967286,3.74188157036719,288.744548974446,9.3349015410048e-65,1.94518458824378e-63
"AACSL",2.18642136453741,0.582116370213081,86.4157431027626,1.4581946818108e-20,4.93092205272337e-20
"AATK",1.32480649346378,2.79330984162297,126.344665095723,2.58460567906146e-29,1.26380177263987e-28
"ABAT",-3.15199972901673,5.68900051974826,713.631400030024,3.24718521336568e-157,8.06330208232255e-155
"ABCA12",3.10222547092904,3.0413728600567,132.503904253944,1.16078170837e-30,6.00503009479327e-30
"ABCA17P",2.82931454561097,1.05933694709,111.774918123609,4.00267805414499e-26,1.72557581969636e-25
"ABCA1",1.70862862696176,6.90807218464287,248.268610625053,6.19303200375033e-56,9.02837415106421e-55
"ABCA4",-5.02429476800232,2.70070698619198,585.500648612557,2.38554350672141e-129,3.3530389345889e-127
"ABCA8",-2.06706378297663,3.11653786317747,140.773583786667,1.80323389627038e-32,1.00172937436735e-31
"ABCB1",-1.55911108777207,5.76896481733978,120.02164882548,6.2574061851609e-28,2.88367135022308e-27
"ABCB4",2.35340435783147,2.5220513562824,123.137383472518,1.30119984660255e-28,6.17013892887696e-28
"ABCB5",6.05162903599655,1.1362682833781,51.1983752844641,8.34876991285855e-13,1.97850044427675e-12
"ABCB6",1.3087650127257,5.64712886224898,168.758310425242,1.38155940738326e-38,9.71853333833956e-38
"ABCC3",2.23342169972123,7.36734528452321,200.204037571927,1.88497868458125e-45,1.7674195985888e-44
"ABCD2",1.09816009276732,0.721532659079937,48.5353604653507,3.2438682128203e-12,7.44919736479804e-12
"ABCG1",1.32607595179753,6.13195978804078,206.930297682295,6.42112068847014e-47,6.40349913905733e-46
"ABCG2",1.14827016418829,4.38062836572695,54.8785646871595,1.28211735487277e-13,3.16682136443126e-13
"ABHD14A",-1.19988073962482,3.80835668171168,274.063789165664,1.47654988622808e-61,2.7328095347717e-60
"ABLIM1",-1.01169995900927,7.74396800689236,231.642046593644,2.61363551685707e-52,3.28889827412614e-51
"ABLIM3",2.02896505938374,6.93204281456723,168.808092425505,1.34739903193111e-38,9.48271052278771e-38
"ABTB2",-1.78743911231598,4.24506139263149,185.241385853347,3.47617437011431e-42,2.84412531248397e-41
"ACAA1",-1.76717483802855,6.19203892875044,791.037060580921,4.79489559999648e-174,1.58753665654106e-171
"ACAD11",1.57634285490087,7.86762816801514,109.482647097423,1.27213330929909e-25,5.34202767058826e-25
"ACAD8",-1.03804456688274,4.91557838197004,345.351785167243,4.35886416843118e-77,1.43045632699243e-75
"ACADM",-1.42451064152166,6.66816689119232,342.81481934263,1.55546538140621e-76,5.00537337312552e-75
"ACADSB",-1.91258582438437,6.20823959607535,562.071038178015,2.9792025904159e-124,3.66835862765343e-122
"ACAN",2.62647809567152,5.49098455166989,132.61324033521,1.09858085729709e-30,5.69115305732592e-30
"ACAP1",2.76738127930341,3.29988428250572,239.793698363582,4.36202920390629e-54,5.8391620044025e-53
"ACAT1",-1.28540676222311,7.61385141290347,142.008720165295,9.68221255744294e-33,5.4292542300844e-32
"ACCS",1.16872753852728,4.0205807761293,102.66575461509,3.96743757163191e-24,1.55391304888917e-23
"ACE",1.01269564125555,6.03309431751682,45.1715971505573,1.80504068781286e-11,4.00564112451202e-11
"ACHE",1.03944974858696,2.79327545255376,28.3675074847827,1.00335283449874e-07,1.82526909416322e-07
"ACLY",1.4368978148677,8.80617152629671,237.432090361935,1.42769933614655e-53,1.88241525745552e-52
"ACO1",-1.06339867540124,6.8698697922926,178.769430953261,8.99722229393002e-41,6.90265782478185e-40
"ACOT11",-2.21902676655248,3.9328804843861,328.679594906669,1.86369598968059e-73,5.36046458499057e-72
"ACOT2",-1.00363119793514,4.2333296671986,128.297603728197,9.66136790065871e-30,4.80937922993365e-29
"ACOX2",-1.90885243658154,3.94585916724054,290.392272484149,4.08398264337135e-65,8.61859170022519e-64
"ACPP",-5.67233639405709,2.84674730509748,1620.55611958121,0,0
"ACRBP",1.60495262759068,1.67899204775955,170.862814968145,4.7942625918128e-39,3.43908128817616e-38
"ACRC",2.07808632510876,0.188945209101231,152.239375392592,5.61705816571772e-35,3.44397323502174e-34
"ACSF2",-3.5907844395003,4.95769908437408,1062.37810127283,4.96499860193505e-233,5.28382244073073e-230
"ACSL4",-1.45454481143042,6.83633914538228,533.621843452738,4.6025886380211e-118,4.6968471313614e-116
"ACSL6",-2.18019450185532,0.811972742929747,140.13487553223,2.48725137599552e-32,1.37606974567238e-31
"ACSM3",-1.35886999744227,5.18974091139298,179.247242129804,7.07586863801679e-41,5.45387309041967e-40
"ACTG2",1.04930432060047,5.03551274979262,21.3960606880029,3.73537878249313e-06,6.17410788555194e-06
"ACTN2",2.07539900359169,1.18017301267372,43.1492728706736,5.07187420823005e-11,1.09961952602473e-10
"ACY1",-3.2346892807096,6.97607568645076,1183.5088657938,2.34047103990197e-259,3.87451978038883e-256
"ADAM12",2.20650851490554,4.15883744182475,69.7811693858895,6.62624535966978e-17,1.90808715913645e-16
"ADAM19",1.75093149611893,4.18385766080974,151.547567887052,7.95626811797007e-35,4.84036091015255e-34
"ADAM28",1.38105286799486,3.69447619416875,108.95850976194,1.65718656947422e-25,6.91027783336033e-25
"ADAM6",1.52046473512561,9.66675643166271,27.5623329389995,1.52112348164931e-07,2.736442737635e-07
"ADAM8",2.03438220436485,3.8198136518011,132.1903809327,1.35937160878577e-30,7.01776770592488e-30
"ADAMDEC1",5.25317665124515,2.62399017445797,185.01968272808,3.88598467533088e-42,3.16898115368116e-41
"ADAMTS10",2.000144024703,4.20744933303878,165.651342046779,6.59215477301626e-38,4.5198579826585e-37
"ADAMTS12",1.51676231070475,1.65954562605476,50.8268126483883,1.00886084304222e-12,2.37832558551995e-12
"ADAMTS14",3.65297357344304,1.66633166391308,177.405713138954,1.78599676833696e-40,1.35073938332245e-39
"ADAMTS15",-2.37555011526324,1.96330240605722,258.968213728137,2.88019967081603e-58,4.74166794425282e-57
"ADAMTS16",-2.65731180644014,2.31131181303539,203.809945021438,3.07931971533071e-46,2.98301589328428e-45
"ADAMTS18",2.01744547891716,1.20006884430193,91.7384648092677,9.89232370148751e-22,3.50084871326514e-21
"ADAMTS2",1.67696821805466,3.44181469986118,99.2514171320264,2.22397403726026e-23,8.45064758509071e-23
"ADAMTS4",1.9222110272319,6.27823274557459,98.1069971190713,3.96375766281872e-23,1.49206734255523e-22
"ADAMTS5",1.03148606609053,5.38290175960387,71.922178996292,2.23853704262223e-17,6.57699928969208e-17
"ADAMTS7",2.51142549591956,4.14985067862119,311.837925893344,8.68657677835171e-70,2.19358148170614e-68
"ADAMTS8",-1.47417496457239,0.666687759755403,92.7968560849819,5.79471335219351e-22,2.07387543200411e-21
"ADAMTSL2",-1.56381386055208,5.00411595666312,184.093930997151,6.18875445285173e-42,5.00848737604769e-41
"ADAMTSL4",1.97755978862374,5.09738681829479,144.742851507589,2.44444534433819e-33,1.40725622817986e-32
"ADAP1",-1.49542339593233,4.30673595556452,275.568137302501,6.94069408739775e-62,1.30897976212834e-60
"ADAP2",1.94326536827399,4.59786161466488,374.572788370152,1.89048231187641e-83,7.51101225723912e-82
"ADAT2",1.11389162454799,2.4615640524949,97.7547874915034,4.73537334953757e-23,1.77356278367924e-22
"ADA",2.38466146488818,3.41763110236094,223.254618060817,1.76397133429902e-50,2.06290493796869e-49
"ADCY2",3.32626952378779,2.39299733976804,87.4497695118952,8.64475913292383e-21,2.95070484126992e-20
"ADCY7",1.87868504453537,4.90886567190777,230.383911783709,4.91607075261986e-52,6.13952541016624e-51
"ADCY8",3.88270975275738,2.35012337506008,47.8797880357544,4.53169341145833e-12,1.03491263239297e-11
"ADCYAP1",1.38066695171442,1.46182936445812,19.0973773675032,1.24215463208421e-05,1.99277074011227e-05
"ADD2",3.10166498246573,1.08989373756357,113.129041290373,2.02179092386242e-26,8.82069193986125e-26
"ADH1B",-2.59049145850796,5.45808056102041,149.936443162662,1.78999477370607e-34,1.0736365593175e-33
"ADH1C",-3.28525091032326,2.50621374900395,115.630700467043,5.72582368397704e-27,2.557225631522e-26
"ADH4",2.85998275283022,1.09228308079715,8.8709163788418,0.0028974965692065,0.00391527311668852
"ADH6",-2.50900443452317,3.53083675791513,196.627212836281,1.1373134334014e-44,1.0351150179748e-43
"ADHFE1",-1.14283684119546,3.2238587110358,108.57442327018,2.01153709615805e-25,8.36680379554964e-25
"ADM",2.68133615672428,7.52540186619504,346.34080004159,2.65456918941502e-77,8.75009432590585e-76
"ADORA1",-1.30287884722884,3.05963578446903,58.1108775750746,2.47752586623429e-14,6.34456134084302e-14
"ADORA2B",1.7604729442877,1.29020052079458,114.376933351973,1.07750155932513e-26,4.75524162689132e-26
"ADORA3",3.23177379078556,4.18583130250997,366.658802903482,9.99275148512226e-82,3.79801031573563e-80
"ADRA1B",1.30244946604673,3.94612377637183,92.7908553931442,5.81230968613118e-22,2.07967343932921e-21
"ADRA2C",-1.76035930417929,3.51143408727377,180.260866765839,4.25072238710478e-41,3.31405090766479e-40
"ADRB1",-1.07368924764567,0.105364669014742,16.0374799892865,6.2100896036161e-05,9.46054447896485e-05
"ADSSL1",2.3167174516483,5.92358578167832,129.883585275789,4.34529294015951e-30,2.19459388187921e-29
"AEN",1.43301423645548,5.18612966332845,326.949164004158,4.43887314357932e-73,1.25492924034513e-71
"AFAP1L1",1.55373055933431,5.47511331498132,193.90318744396,4.47088852469553e-44,3.96262749134079e-43
"AFAP1L2",-1.81427629428559,5.22361433675619,426.547740697058,9.16809173326262e-95,5.0968432363388e-93
"AFF2",1.42357993237055,2.238103321553,71.9982893138991,2.15384005577353e-17,6.33690027467808e-17
"AFF3",1.65048160744203,4.47050883113122,109.47019657377,1.28014889293056e-25,5.37417254318748e-25
"AFG3L1",1.19157536374975,3.37809210827749,91.2381116082854,1.27383031276506e-21,4.49521502365861e-21
"AFMID",-1.12042034080497,5.02547108603053,201.323223091437,1.07418638597635e-45,1.01938235443705e-44
"AFM",-4.60220143906182,2.27378726571265,248.333703438483,5.99393630124986e-56,8.75526048552173e-55
"AGAP11",2.27485191551952,2.5642243442449,131.392068804993,2.03228952726498e-30,1.04230917957731e-29
"AGAP2",2.88595738356171,3.35158755548087,481.85402102861,8.43945574370132e-107,6.51499746763762e-105
"AGAP4",1.6418641177875,3.32625823126759,122.660608577326,1.65464022153265e-28,7.81378277674009e-28
"AGAP5",1.38857881534687,1.08848850094735,103.315367637433,2.85827596331174e-24,1.12868946666795e-23
"AGAP6",2.00839401936853,2.30067446287841,139.500745095521,3.42287152151457e-32,1.88599714493512e-31
"AGAP8",1.93726552214824,0.695207612843601,103.855579179439,2.17614152819805e-24,8.64134664941969e-24
"AGBL2",2.19574415927445,0.884683926175644,149.990534723509,1.74192164824558e-34,1.04564426419061e-33
"AGBL3",2.00910409028698,0.920215042680901,141.572154551003,1.20623826938067e-32,6.7436187525338e-32
"AGER",2.70808421891946,1.93104725773241,222.367300462818,2.75440159710668e-50,3.20357762648653e-49
"AGFG2",-1.22673102915601,4.69083033928603,261.022544424181,1.02713499656723e-58,1.71177676888761e-57
"AGMAT",-2.46966289805441,5.53517942291241,263.944247763478,2.37022018613949e-59,4.08253301194129e-58
"AGPAT9",-2.49287036954719,5.07419507122474,266.863924095375,5.47542546348996e-60,9.64283262181287e-59
"AGPHD1",-1.86586017777744,0.852010008667528,450.925326123294,4.53669380407768e-100,2.91345693909282e-98
"AGR2",-1.96896673565551,1.72756213015731,12.7904714612715,0.000348389307540671,0.000503653434217781
"AGT",1.0380478545613,6.73922003811934,31.3811553628651,2.12028870174931e-08,4.02217740862783e-08
"AGXT2L2",1.44936859028661,5.68390570382983,270.011560683285,1.12820924038583e-60,2.02764649849318e-59
"AGXT2",-1.12289597515184,6.07328247853519,30.7556495561391,2.92650562458807e-08,5.51017405544517e-08
"AGXT",-2.66368676340723,2.78663267353034,104.90689552271,1.28011687251342e-24,5.13528844468966e-24
