sample	chromosome	start	stop	mean	count
W1-1-1,W1-1-2	1	148893346	149421518	0.401	194
W1-1-1,W1-1-2	1	152555796	152586541	0.494	31
W1-1-1,W1-1-2	2	146864458	146866935	-1.786	21
W1-1-1,W1-1-2	2	34699315	34727868	0.419	45
W1-1-1,W1-1-2	2	76774238	76774460	1.816	2
W1-1-1,W1-1-2	2	78702077	78721903	-0.663	14
W1-1-1,W1-1-2	3	100417713	100463188	-0.454	26
W1-1-1,W1-1-2	3	100666360	100686669	-0.387	15
W1-1-1,W1-1-2	3	101143786	101931982	-0.429	411
W1-1-1,W1-1-2	3	102591383	103955735	-0.459	849
W1-1-1,W1-1-2	3	107039462	107040152	-2.902	2
W1-1-1,W1-1-2	3	13681390	13682266	-2.688	2
W1-1-1,W1-1-2	3	151511085	151545880	-0.6	30
W1-1-1,W1-1-2	3	192877963	192882904	-0.87	19
W1-1-1,W1-1-2	3	97728554	97751240	-0.429	19
W1-1-1,W1-1-2	3	97779738	98096351	-0.476	216
W1-1-1,W1-1-2	3	98245718	98897711	-0.451	379
W1-1-1,W1-1-2	3	98900818	99031898	-0.228	103
W1-1-1,W1-1-2	3	99034216	99410293	-0.457	272
W1-1-1,W1-1-2	3	99589536	99944381	-0.449	168
W1-1-1,W1-1-2	4	115175324	115182176	-1.327	23
W1-1-1,W1-1-2	4	138182544	138183102	-0.756	12
W1-1-1,W1-1-2	4	138183148	138189510	-0.382	27
W1-1-1,W1-1-2	4	138189778	138190884	-0.795	8
W1-1-1,W1-1-2	4	172989149	172989506	-1.548	10
W1-1-1,W1-1-2	5	177227552	177232606	2.131	3
W1-1-1,W1-1-2	5	178109976	178113164	-1.698	3
W1-1-1,W1-1-2	6	103737977	103762062	-1.131	47
W1-1-1,W1-1-2	6	103765471	171051006	-0.271	45312
W1-1-1,W1-1-2	6	13904117	13907710	-2.223	2
W1-1-1,W1-1-2	6	13910355	32452930	-0.276	12369
W1-1-1,W1-1-2	6	149662	258266	-0.271	105
W1-1-1,W1-1-2	6	32454276	32540478	0.729	28
W1-1-1,W1-1-2	6	32540612	78962890	-0.272	27782
W1-1-1,W1-1-2	6	382897	13903981	-0.274	11043
W1-1-1,W1-1-2	6	78969066	79032318	-0.802	110
W1-1-1,W1-1-2	6	79032593	79039234	-0.525	6
W1-1-1,W1-1-2	6	79041633	81284760	-0.277	1461
W1-1-1,W1-1-2	6	81284959	81289535	-1.258	27
W1-1-1,W1-1-2	6	81294342	103734830	-0.276	14322
W1-1-1,W1-1-2	7	153147646	153147713	-2.366	2
W1-1-1,W1-1-2	7	153147715	154389895	0.327	911
W1-1-1,W1-1-2	7	154393172	154399614	-2.118	4
W1-1-1,W1-1-2	7	154400830	159127005	0.32	3348
W1-1-1,W1-1-2	7	22435473	22436488	-1.782	2
W1-1-1,W1-1-2	7	22438754	54286143	0.31	22951
W1-1-1,W1-1-2	7	43259	9591366	0.322	5913
W1-1-1,W1-1-2	7	54303681	55987514	2.049	1323
W1-1-1,W1-1-2	7	55987921	61766550	1.486	909
W1-1-1,W1-1-2	7	61768647	61987174	0.987	41
W1-1-1,W1-1-2	7	61987245	63054742	0.288	302
W1-1-1,W1-1-2	7	63059351	63285289	0.779	58
W1-1-1,W1-1-2	7	63296031	64568853	0.331	682
W1-1-1,W1-1-2	7	64594066	64651350	-0.628	10
W1-1-1,W1-1-2	7	64651641	153147638	0.321	53859
W1-1-1,W1-1-2	7	9591405	9592644	-1.31	2
W1-1-1,W1-1-2	7	9594985	22434781	0.322	10608
W1-1-1,W1-1-2	8	12216010	12247487	-1.009	44
W1-1-1,W1-1-2	8	4764417	6061948	0.381	1742
W1-1-1,W1-1-2	8	595221	595909	1.105	10
W1-1-1,W1-1-2	9	10145099	13111360	-0.455	2413
W1-1-1,W1-1-2	9	13348599	13578387	-0.474	191
W1-1-1,W1-1-2	9	13706483	13715774	-0.519	13
W1-1-1,W1-1-2	9	13750850	13932847	-0.468	210
W1-1-1,W1-1-2	9	138215623	138216413	-2.296	2
W1-1-1,W1-1-2	9	14021767	14657139	-0.438	609
W1-1-1,W1-1-2	9	15005594	15018537	-0.519	20
W1-1-1,W1-1-2	9	15333788	16471593	-0.436	976
W1-1-1,W1-1-2	9	16536204	18107715	-0.435	1422
W1-1-1,W1-1-2	9	18487474	19248357	-0.409	758
W1-1-1,W1-1-2	9	19806772	20616636	-0.394	654
W1-1-1,W1-1-2	9	21408203	21474575	-0.344	41
W1-1-1,W1-1-2	9	21487254	22338657	-1.267	636
W1-1-1,W1-1-2	9	22338955	23058677	-1.412	480
W1-1-1,W1-1-2	9	2275401	2358038	-0.455	95
W1-1-1,W1-1-2	9	23059796	23276501	-1.231	156
W1-1-1,W1-1-2	9	23277334	23366283	-0.39	62
W1-1-1,W1-1-2	9	23367170	23372400	0.473	4
W1-1-1,W1-1-2	9	23373485	23507724	-0.405	91
W1-1-1,W1-1-2	9	23512634	23769754	-1.374	236
W1-1-1,W1-1-2	9	23771108	23803568	-1.03	54
W1-1-1,W1-1-2	9	237936	307197	-0.453	104
W1-1-1,W1-1-2	9	23806012	23988396	-1.431	89
W1-1-1,W1-1-2	9	23993070	24058945	-0.346	48
W1-1-1,W1-1-2	9	24059243	24285934	-1.357	149
W1-1-1,W1-1-2	9	24289045	24381517	-0.379	57
